Title,Description
Alat,"Alat is a company focused on transforming global industries (electronics and industrials) and creating a world-class manufacturing hub in the Kingdom of Saudi Arabia powered by clean energy to build a better tomorrow. Alat will deliver sustainable manufacturing to help global companies reduce their emissions and move towards zero-carbon manufacturing.  Alat, a PIF company, is an essential enabler of the Saudi Vision 2030 goals for economic diversification, industrial development, innovation, and job creation.
Alat´s primary goal is to ensure that global companies set up sustainable manufacturing solutions in Saudi Arabia, benefitting from abundant clean energy resources, the country´s unique geolocation, and its investments in technology. Initially, its key strategic business areas will be semiconductors, smart devices, smart buildings, smart appliances, smart health, advanced industrials, and next gen infrastructure."
Dan Company,"Dan Company is a Public Investment Fund (PIF) Company that aims to contribute to the development of the tourism sector by embracing the Kingdom's captivating nature and introducing its rich agricultural diversity through agritourism, adventure tourism, and ecotourism, strengthening the connection between people and nature.
Dan's unique integrated business model includes owned and franchised assets, a pioneering approach in the global tourism industry, and aims to develop a tourism ecosystem consisting of high-end resorts and granting franchises to farmers and tourist lodge operators."
ARDARA,"ARDARA is a real estate developer owned by the Public Investment Fund (PIF), playing a significant role in achieving the programs and targets of PIF aligned with Saudi Vision 2030. We work diligently to execute and develop unique, inspiring, and vibrant destinations, creating sustainable urban destinations that exist in harmony with nature. Our developmental efforts draw inspiration from the rich heritage and unique character of our local culture, enhancing the lives of the residents and visitors of our destinations and reinforcing a sense of pride and belonging.
ARDARA derives its name from the Arabic words ""Ard"" (meaning land) and ""Dar"" (meaning home), symbolizing two fundamental elements in human life and identity. Through our flagship destination, AlWadi, in the heart of Abha, ARDARA will contribute more than 19 billion Saudi riyals to the local gross domestic product and thousands of job opportunities by 2030, thereby solidifying our status as a pioneering real estate developer."
TASARU Mobility Investments,"TASARU Mobility Investments is the investment gateway to the thriving Saudi Arabian automotive and mobility ecosystem, for local and international players,  enabling sustainable growth and opportunities across the national mobility spectrum to positively impact the economic, social, and environmental landscape for businesses and opportunities."
Albalad Development CO.,"Al Balad Development Company (BDC), wholly owned by the Public Investment Fund, is the heritage-focused master developer and asset manager of the Jeddah Historical District. Its aim is to provide an authentic experience, build a vibrant and creative community, and establish Jeddah Historical District as an economic center and a global historical destination inspired by Jeddah’s ancient heritage and diverse culture.The establishment of the company follows the directive of His Royal Highness the Crown Prince to develop historic Jeddah, which began in 2019. It also contributes to the goals of the Kingdom’s Vision 2030 for Jeddah to be a global destination."
SURJ Sports Investment,"SURJ Sports Investments, is a PIF company specializing in sports investments. It aims to enable the growth of the sports sector in Saudi Arabia and the Middle East and North Africa region.The company focuses on driving sustainable investment across technology, media, programming, IP rights, and commercialization of venues."
Kayanee,"Kayanee is a Public Investment Fund (PIF) Company that aims to provide inspiring experiences for women that promote a balanced lifestyle and enhance the values of purposeful performance and fitness through six curated business units - Move, Wear, Restore, Thrive, Nourish, and Learn.Kayanee offers a unique first experience that helps women find the balance between what the mind demands and what the body needs."
Al Madinah Heritage Company,"Al Madinah Heritage Company embraces Saudi Arabia's deeply rooted heritage and culture, cherishing tradition while pursuing excellence. Embarking on a journey towards the seamless fusion of heritage and innovation, celebrating the timeless appeal of Ajwa Al Madinah and other Saudi dates."
ASFAR,"ASFAR, the Saudi tourism investment company, wholly owned by the Public Investment Fund (PIF), is strategically founded to play a pivotal role in shaping the tourism landscape in Saudi Arabia.Through strategic & destination-focused investments, ASFAR is dedicated to shaping comprehensive tourism ecosystems across the Kingdom in partnership with the public and private sectors to put Saudi promising cities on the tourism map."
Lifera,"Lifera, a PIF company specializing in biopharmaceuticals with a mission to enable two National priority objectives:
To achieve this, Lifera aims to become a leading biopharma Contract Development and Manufacturing Organization (CDMO) with a focus on advanced therapeutics and critical medicines.   Lifera’s strategy is to be a service provider to biopharma and biotech companies globally by developing and acquiring state-of-the-art cGMP biomanufacturing capacity, establishing high throughput multi-omics capacity to support clinical, population health, and R&D customers, securing high-value commercial partnerships and technology transfer, and developing a high caliber biopharma workforce."
